time,position,velocity,accel,force
0.0000,10.000000,2.000000,-9.800000,-19.600000
0.0100,10.020000,1.902000,-9.800000,-19.600000
0.0200,10.039020,1.804000,-9.800000,-19.600000
0.0300,10.057060,1.706000,-9.800000,-19.600000
0.0400,10.074120,1.608000,-9.800000,-19.600000
0.0500,10.090200,1.510000,-9.800000,-19.600000
0.0600,10.105300,1.412000,-9.800000,-19.600000
0.0700,10.119420,1.314000,-9.800000,-19.600000
0.0800,10.132560,1.216000,-9.800000,-19.600000
0.0900,10.144720,1.118000,-9.800000,-19.600000
0.1000,10.155900,1.020000,-9.800000,-19.600000
0.1100,10.166100,0.922000,-9.800000,-19.600000
0.1200,10.175320,0.824000,-9.800000,-19.600000
0.1300,10.183560,0.726000,-9.800000,-19.600000
0.1400,10.190820,0.628000,-9.800000,-19.600000
0.1500,10.197100,0.530000,-9.800000,-19.600000
0.1600,10.202400,0.432000,-9.800000,-19.600000
0.1700,10.206720,0.334000,-9.800000,-19.600000
0.1800,10.210060,0.236000,-9.800000,-19.600000
0.1900,10.212420,0.138000,-9.800000,-19.600000
0.2000,10.213800,0.040000,-9.800000,-19.600000
0.2100,10.214200,-0.058000,-9.800000,-19.600000
0.2200,10.213620,-0.156000,-9.800000,-19.600000
0.2300,10.212060,-0.254000,-9.800000,-19.600000
0.2400,10.209520,-0.352000,-9.800000,-19.600000
0.2500,10.206000,-0.450000,-9.800000,-19.600000
0.2600,10.201500,-0.548000,-9.800000,-19.600000
0.2700,10.196020,-0.646000,-9.800000,-19.600000
0.2800,10.189560,-0.744000,-9.800000,-19.600000
0.2900,10.182120,-0.842000,-9.800000,-19.600000
0.3000,10.173700,-0.940000,-9.800000,-19.600000
0.3100,10.164300,-1.038000,-9.800000,-19.600000
0.3200,10.153920,-1.136000,-9.800000,-19.600000
0.3300,10.142560,-1.234000,-9.800000,-19.600000
0.3400,10.130220,-1.332000,-9.800000,-19.600000
0.3500,10.116900,-1.430000,-9.800000,-19.600000
0.3600,10.102600,-1.528000,-9.800000,-19.600000
0.3700,10.087320,-1.626000,-9.800000,-19.600000
0.3800,10.071060,-1.724000,-9.800000,-19.600000
0.3900,10.053820,-1.822000,-9.800000,-19.600000
0.4000,10.035600,-1.920000,-9.800000,-19.600000
0.4100,10.016400,-2.018000,-9.800000,-19.600000
0.4200,9.996220,-2.116000,-9.800000,-19.600000
0.4300,9.975060,-2.214000,-9.800000,-19.600000
0.4400,9.952920,-2.312000,-9.800000,-19.600000
0.4500,9.929800,-2.410000,-9.800000,-19.600000
0.4600,9.905700,-2.508000,-9.800000,-19.600000
0.4700,9.880620,-2.606000,-9.800000,-19.600000
0.4800,9.854560,-2.704000,-9.800000,-19.600000
0.4900,9.827520,-2.802000,-9.800000,-19.600000
0.5000,9.799500,-2.900000,-9.800000,-19.600000
0.5100,9.770500,-2.998000,-9.800000,-19.600000
0.5200,9.740520,-3.096000,-9.800000,-19.600000
0.5300,9.709560,-3.194000,-9.800000,-19.600000
0.5400,9.677620,-3.292000,-9.800000,-19.600000
0.5500,9.644700,-3.390000,-9.800000,-19.600000
0.5600,9.610800,-3.488000,-9.800000,-19.600000
0.5700,9.575920,-3.586000,-9.800000,-19.600000
0.5800,9.540060,-3.684000,-9.800000,-19.600000
0.5900,9.503220,-3.782000,-9.800000,-19.600000
0.6000,9.465400,-3.880000,-9.800000,-19.600000
0.6100,9.426600,-3.978000,-9.800000,-19.600000
0.6200,9.386820,-4.076000,-9.800000,-19.600000
0.6300,9.346060,-4.174000,-9.800000,-19.600000
0.6400,9.304320,-4.272000,-9.800000,-19.600000
0.6500,9.261600,-4.370000,-9.800000,-19.600000
0.6600,9.217900,-4.468000,-9.800000,-19.600000
0.6700,9.173220,-4.566000,-9.800000,-19.600000
0.6800,9.127560,-4.664000,-9.800000,-19.600000
0.6900,9.080920,-4.762000,-9.800000,-19.600000
0.7000,9.033300,-4.860000,-9.800000,-19.600000
0.7100,8.984700,-4.958000,-9.800000,-19.600000
0.7200,8.935120,-5.056000,-9.800000,-19.600000
0.7300,8.884560,-5.154000,-9.800000,-19.600000
0.7400,8.833020,-5.252000,-9.800000,-19.600000
0.7500,8.780500,-5.350000,-9.800000,-19.600000
0.7600,8.727000,-5.448000,-9.800000,-19.600000
0.7700,8.672520,-5.546000,-9.800000,-19.600000
0.7800,8.617060,-5.644000,-9.800000,-19.600000
0.7900,8.560620,-5.742000,-9.800000,-19.600000
0.8000,8.503200,-5.840000,-9.800000,-19.600000
0.8100,8.444800,-5.938000,-9.800000,-19.600000
0.8200,8.385420,-6.036000,-9.800000,-19.600000
0.8300,8.325060,-6.134000,-9.800000,-19.600000
0.8400,8.263720,-6.232000,-9.800000,-19.600000
0.8500,8.201400,-6.330000,-9.800000,-19.600000
0.8600,8.138100,-6.428000,-9.800000,-19.600000
0.8700,8.073820,-6.526000,-9.800000,-19.600000
0.8800,8.008560,-6.624000,-9.800000,-19.600000
0.8900,7.942320,-6.722000,-9.800000,-19.600000
0.9000,7.875100,-6.820000,-9.800000,-19.600000
0.9100,7.806900,-6.918000,-9.800000,-19.600000
0.9200,7.737720,-7.016000,-9.800000,-19.600000
0.9300,7.667560,-7.114000,-9.800000,-19.600000
0.9400,7.596420,-7.212000,-9.800000,-19.600000
0.9500,7.524300,-7.310000,-9.800000,-19.600000
0.9600,7.451200,-7.408000,-9.800000,-19.600000
0.9700,7.377120,-7.506000,-9.800000,-19.600000
0.9800,7.302060,-7.604000,-9.800000,-19.600000
0.9900,7.226020,-7.702000,-9.800000,-19.600000
1.0000,7.149000,-7.800000,-9.800000,-19.600000
1.0100,7.071000,-7.898000,-9.800000,-19.600000
1.0200,6.992020,-7.996000,-9.800000,-19.600000
1.0300,6.912060,-8.094000,-9.800000,-19.600000
1.0400,6.831120,-8.192000,-9.800000,-19.600000
1.0500,6.749200,-8.290000,-9.800000,-19.600000
1.0600,6.666300,-8.388000,-9.800000,-19.600000
1.0700,6.582420,-8.486000,-9.800000,-19.600000
1.0800,6.497560,-8.584000,-9.800000,-19.600000
